TimestampMicroSeconds,X,Y
21711107606,-0.996757,-0.098032
21711122519,-0.938226,-0.194911
21711135785,-0.881621,-0.290784
21711152595,-0.994956,-0.101334
21711167602,-0.994200,-0.102692
21711212578,-0.992267,-0.104647
21711225768,-0.878096,-0.281117
21711257567,-0.990813,-0.108181
21711270855,-0.873042,-0.280692
21711287576,-0.930119,-0.193192
21711302591,-0.988653,-0.104025
21711315782,-0.865533,-0.282651
21711348658,-0.988128,-0.093051
21711360785,-0.863171,-0.282862
21711377474,-0.862115,-0.283763
21711405736,-0.859840,-0.284480
21711422636,-0.922468,-0.182266
21711450795,-0.853509,-0.285264
21711467578,-0.851290,-0.284454
21711496901,-0.846185,-0.286453
21711512610,-0.906515,-0.195081
21711527596,-0.902303,-0.197914
21711540788,-0.836273,-0.297411
21711557618,-0.893989,-0.198127
21711572570,-0.889841,-0.200566
21711585833,-0.825255,-0.305005
21711602602,-0.884589,-0.208778
21711617571,-0.882749,-0.212881
21711648701,-0.878168,-0.222159
21711662558,-0.876086,-0.225294
21711675761,-0.818986,-0.327329
21711692505,-0.872836,-0.229760
21711707542,-0.871538,-0.231315
21711720807,-0.820203,-0.333396
21711737605,-0.873467,-0.227539
21711765793,-0.822661,-0.336165
21711810786,-0.831776,-0.341351
21711827610,-0.889903,-0.211775
21711855805,-0.837673,-0.344570
21711872592,-0.897047,-0.208559
21711887615,-0.957511,-0.067573
21711900836,-0.898347,-0.212297
21711917526,-0.897312,-0.220709
21711946917,-0.897246,-0.230365
21711962492,-0.845680,-0.347941
21711977512,-0.946621,-0.132676
21711990728,-0.896598,-0.239632
21712007534,-0.896378,-0.240366
21712022554,-0.897184,-0.240680
21712035835,-0.848281,-0.343278
21712052564,-0.952084,-0.137953
21712067501,-0.904466,-0.240857
21712098637,-0.957313,-0.141649
21712112588,-0.910102,-0.238911
21712125837,-0.860797,-0.339949
21712157572,-0.916137,-0.236211
21712170744,-0.866620,-0.343986
21712187565,-0.973954,-0.125931
21712215728,-0.873100,-0.342090
21712260756,-0.881437,-0.342212
21712277588,-0.990259,-0.124243
21712292569,-0.993446,-0.120691
21712322612,-0.996940,-0.116909
21712337578,-0.997844,-0.119406
21712350710,-0.869148,-0.342940
21712412553,-0.863240,-0.343300
21712440758,-0.865156,-0.334175
21712457552,-0.926269,-0.234341
21712472572,-0.984372,-0.132410
21712485718,-0.921500,-0.239012
21712502559,-0.918220,-0.244859
21712517593,-0.970284,-0.156787
21712548644,-0.911228,-0.256541
21712562614,-0.960303,-0.176456
21712575673,-0.906535,-0.264201
21712592559,-0.903148,-0.268999
21712607554,-0.949661,-0.196245
21712620765,-0.897045,-0.273024
21712637506,-0.892727,-0.274597
21712652555,-0.937223,-0.199955
21712665768,-0.840484,-0.355774
21712710760,-0.832469,-0.358048
21712727552,-0.875718,-0.281865
21712755758,-0.822464,-0.363855
21712787577,-0.867384,-0.275337
