TimestampMicroSeconds,X,Y
28005724551,-0.734111,-0.476599
28005741130,-0.733413,-0.477368
28005756224,-0.732923,-0.479713
28005769413,-0.676391,-0.560927
28005786233,-0.733263,-0.482178
28005801239,-0.790565,-0.403061
28005814562,-0.732918,-0.485626
28005847295,-0.734008,-0.481734
28005859523,-0.734466,-0.481305
28005876206,-0.738066,-0.485537
28005891221,-0.821984,-0.410306
28005904539,-0.709299,-0.591680
28005921206,-0.791980,-0.515759
28005936215,-0.874150,-0.433371
28005949568,-0.737208,-0.607906
28005966135,-0.822997,-0.526803
28005995664,-0.760063,-0.621096
28006011233,-0.850043,-0.547118
28006026199,-0.859858,-0.557221
28006056241,-0.866651,-0.575114
28006071208,-0.947921,-0.500535
28006101269,-0.870710,-0.588671
28006116227,-0.949352,-0.514915
28006147284,-0.875556,-0.602780
28006161202,-0.952955,-0.523441
28006191202,-0.878598,-0.611943
28006206201,-0.953400,-0.527658
28006236228,-0.884127,-0.612733
28006251270,-0.957101,-0.531891
28006264432,-0.811594,-0.699116
28006297223,-0.887828,-0.623456
28006309434,-0.817949,-0.704879
28006326195,-0.896020,-0.626952
28006341200,-0.902007,-0.631889
28006354422,-0.835232,-0.721101
28006371123,-0.908784,-0.640392
28006386119,-0.911622,-0.643952
28006399456,-0.841915,-0.733506
28006416231,-0.919491,-0.649842
28006445527,-0.852580,-0.741291
28006461197,-0.926629,-0.658572
28006476191,-0.999728,-0.577628
28006489450,-0.857759,-0.746770
28006506221,-0.930817,-0.665104
28006521224,-0.931689,-0.668097
28006534356,-0.860414,-0.751756
28006551193,-0.933628,-0.671640
28006566228,-0.932519,-0.669023
28006597270,-0.930173,-0.571267
28006611216,-0.997838,-0.261333
28006624441,-0.877731,-0.413236
28006656163,-0.998181,0.116309
28006669425,-0.903257,-0.186932
28006701227,-0.959942,0.190000
28006747304,-0.997748,0.537558
28006759356,-0.936041,0.320961
28006804481,-0.983861,0.626833
28006849422,-1.067069,0.994369
28006895522,-1.038831,0.929208
28006926190,-1.014033,1.013246
28007151206,-1.000887,0.899437
28007164434,-1.003483,0.907239
28007197250,-1.008487,0.927391
28007209461,-1.013031,0.944958
28007254398,-1.000271,0.933216
28007299436,-0.992385,0.921107
28007345136,-0.955641,0.836825
28007389170,-0.930933,0.801393
28007466174,-0.961144,0.802564
28007556167,-0.948387,0.765923
28007601233,-0.943963,0.755022
28007691149,-0.935250,0.728317
28007704106,-0.920432,0.666679
28007736100,-0.948740,0.750096
28007749028,-0.935340,0.682826
28007795070,-0.884620,0.584889
28007826220,-0.885532,0.524025
28007839028,-0.844735,0.445147
28007871118,-0.877382,0.461631
28007901207,-0.806484,0.369974
28007916206,-0.814298,0.435702
28007947201,-0.766668,0.340100
28007961123,-0.749453,0.357792
28007973803,-0.698993,0.300997
28007991180,-0.647260,0.273260
28008006141,-0.668059,0.318662
28008018883,-0.586073,0.245118
28008051212,-0.704914,0.389592
28008097286,-0.688807,0.406848
28008108924,-0.502888,0.214917
28008126170,-0.499641,0.222791
28008141165,-0.681431,0.446152
28008153949,-0.489135,0.249196
28008171112,-0.487824,0.276563
28008186209,-0.661087,0.473528
28008198969,-0.478190,0.300006
28008216194,-0.471874,0.316582
28008245242,-0.468233,0.353770
28008261207,-0.550885,0.470449
28008276164,-0.628700,0.597263
28008289165,-0.477209,0.425411
28008306084,-0.554735,0.560222
28008321108,-0.625517,0.702516
28008334075,-0.490740,0.515308
28008351102,-0.560916,0.657007
28008366116,-0.625362,0.791599
28008397262,-0.563900,0.731759
28008411203,-0.615518,0.867252
28008424345,-0.505690,0.647375
28008441165,-0.548019,0.773995
28008456161,-0.543118,0.782566
28008469410,-0.499324,0.677574
28008486222,-0.535590,0.798615
28008501124,-0.567633,0.921839
28008514376,-0.494080,0.698456
28008547243,-0.522476,0.941584
28008576158,-0.434341,0.822515
28008591091,-0.219788,0.945559
28008621192,-0.226025,0.835062
28008636297,0.135464,0.969833
28008649401,0.206981,0.985674
28008666166,0.271620,0.993803
28008695575,0.352291,1.005880
28008711159,0.383101,1.007687
28008726192,0.398378,1.002231
28008739491,0.409384,0.997829
28008756180,0.439858,1.002229
28008771167,0.517246,0.823424
28008784486,0.584418,0.832547
28008801156,0.577240,0.926354
28008847275,0.647333,0.941518
28008891186,0.827381,0.870111
28008906158,0.840181,0.869999
28008936153,0.861438,0.873060
28008997255,0.884722,0.878349
28009026175,0.888450,0.872782
28009071145,0.893491,0.871050
28009266176,0.909384,0.917614
28009341149,0.875755,0.978817
28009356182,0.907373,0.920406
28009369463,0.876017,0.977724
28009386175,0.876227,0.976942
28009401173,0.903929,0.920321
28009414435,0.843921,1.016381
28009447269,0.898089,0.926695
28009459402,0.870319,0.960390
28009476140,0.873802,0.958498
28009491166,0.895848,0.920745
28009504382,0.877167,0.960803
28009521151,0.878225,0.960997
28009536157,0.893063,0.915552
28009549428,0.879350,0.960187
28009566151,0.880820,0.960985
28009595500,0.882021,0.958908
28009611139,0.881852,0.957729
28009639488,0.882082,0.958957
28009656224,0.882337,0.960122
28009684489,0.881148,0.959922
28009701199,0.880512,0.960110
28009716134,0.876696,0.886222
28009747221,0.887655,0.952454
28009774505,0.879161,0.856835
28009791156,0.890090,0.939067
28009819423,0.883677,0.842554
28009836083,0.900969,0.935685
28009864430,0.886370,0.837480
28009897178,0.881296,0.832838
28009909337,0.879799,0.831399
28009926136,0.908830,0.934459
28009954378,0.872214,0.824515
28009971175,0.909980,0.928102
28009999388,0.865966,0.817498
28010016209,0.909317,0.919332
28010045438,0.862391,0.806957
28010061169,0.909460,0.917536
28010076135,0.859635,0.799348
28010089421,0.856900,0.794642
28010106129,0.906738,0.907580
28010121206,0.851302,0.790294
28010134371,0.851500,0.784233
28010151079,0.908916,0.910008
28010166167,0.854158,0.787854
28010197156,0.913144,0.924628
28010241169,0.916377,0.943190
28010286136,0.931875,0.956433
28010301163,0.874618,0.818115
28010347174,0.895510,0.816944
28010359442,0.895005,0.808883
28010376158,0.902703,0.735464
28010391132,0.904949,0.639607
28010404455,0.887281,0.625599
28010421164,0.858918,0.460144
