TrialNumber,DirectionDeg,Distance,StartX,StartY,TargetX,TargetY,StartState,Outcome,MovementDurationMs,PathDistance,MeanVelocity,PeakVelocity,FinalError,CorrectionDistance,Hit
1,0.000,2.000,0.000000,0.000000,2.000000,0.000000,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
2,45.000,2.000,0.000000,0.000000,1.414214,1.414214,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
3,90.000,2.000,0.000000,0.000000,0.000000,2.000000,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
4,135.000,2.000,0.000000,0.000000,-1.414214,1.414214,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
5,180.000,2.000,0.000000,0.000000,-2.000000,0.000000,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
6,225.000,2.000,0.000000,0.000000,-1.414214,-1.414214,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
7,270.000,2.000,0.000000,0.000000,-0.000000,-2.000000,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
8,315.000,2.000,0.000000,0.000000,1.414214,-1.414214,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
9,0.000,5.000,0.000000,0.000000,5.000000,0.000000,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
10,45.000,5.000,0.000000,0.000000,3.535534,3.535534,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
11,90.000,5.000,0.000000,0.000000,0.000000,5.000000,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
12,135.000,5.000,0.000000,0.000000,-3.535534,3.535534,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
13,180.000,5.000,0.000000,0.000000,-5.000000,0.000000,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
14,225.000,5.000,0.000000,0.000000,-3.535534,-3.535534,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
15,270.000,5.000,0.000000,0.000000,-0.000000,-5.000000,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
16,315.000,5.000,0.000000,0.000000,3.535534,-3.535534,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
17,0.000,10.000,0.000000,0.000000,10.000000,0.000000,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
18,45.000,10.000,0.000000,0.000000,7.071068,7.071068,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
19,90.000,10.000,0.000000,0.000000,0.000000,10.000000,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
20,135.000,10.000,0.000000,0.000000,-7.071068,7.071068,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
21,180.000,10.000,0.000000,0.000000,-10.000000,0.000000,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
22,225.000,10.000,0.000000,0.000000,-7.071068,-7.071068,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
23,270.000,10.000,0.000000,0.000000,-0.000000,-10.000000,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
24,315.000,10.000,0.000000,0.000000,7.071068,-7.071068,CENTER,PENDING,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,false
