TimestampMicroSeconds,X,Y,UpdateCycle
25422332783,-0.615214,-0.042893,65
25422347759,-0.616539,-0.041838,66
25422361018,-0.618418,-0.040887,67
25422377805,-0.619427,-0.041738,68
25422392774,-0.621045,-0.040648,69
25422406023,-0.622062,-0.040126,70
25422438915,-0.624232,-0.038731,72
25422451032,-0.624838,-0.038316,73
25422467752,-0.625402,-0.037941,74
25422482771,-0.624954,-0.040705,75
25422495994,-0.590091,-0.120552,76
25422512809,-0.624836,-0.045360,77
25422527790,-0.621096,-0.050106,78
25422540945,-0.611676,-0.051090,79
25422557676,-0.589297,-0.051457,80
25422587048,-0.559314,-0.052933,82
25422602759,-0.545442,-0.053800,83
25422617756,-0.531521,-0.054848,84
25422630970,-0.521087,-0.055207,85
25422647696,-0.509499,-0.056376,86
25422662760,-0.500072,-0.062269,87
25422675934,-0.492960,-0.066097,87
25422692704,-0.485747,-0.069513,89
25422707794,-0.479828,-0.073262,90
25422738859,-0.470207,-0.078949,92
25422752753,-0.466475,-0.078323,93
25422765989,-0.463239,-0.076868,93
25422782788,-0.460046,-0.074681,94
25422797691,-0.457352,-0.072869,95
25422810984,-0.454746,-0.072313,96
25422827753,-0.452616,-0.071840,97
25422842785,-0.450615,-0.072203,98
25422855986,-0.449866,-0.071995,99
25422888870,-0.449647,-0.070577,101
25422901032,-0.449890,-0.069640,102
25422917698,-0.451185,-0.067879,103
25422932786,-0.451460,-0.069626,104
25422945995,-0.451664,-0.070503,105
25422962779,-0.451491,-0.070927,106
25422977780,-0.451288,-0.070052,107
25422990993,-0.451208,-0.070647,108
25423007787,-0.451742,-0.070524,109
25423037041,-0.452178,-0.071307,111
25423052780,-0.452528,-0.071483,112
25423067744,-0.454112,-0.068780,113
25423080997,-0.455191,-0.066354,114
25423097791,-0.455539,-0.063678,115
25423112731,-0.455706,-0.060628,116
25423126031,-0.455829,-0.058478,116
25423142796,-0.483807,-0.000151,118
25423157693,-0.455917,-0.057231,119
25423188832,-0.455917,-0.057628,121
25423202754,-0.456361,-0.058048,121
25423216014,-0.456997,-0.058209,122
25423232756,-0.458247,-0.058440,123
25423247750,-0.458699,-0.062033,124
25423260980,-0.458816,-0.064289,125
25423277736,-0.458477,-0.066496,126
25423292725,-0.458558,-0.064898,127
25423305982,-0.458955,-0.063013,128
25423338856,-0.459877,-0.061193,130
25423351016,-0.460066,-0.060308,131
25423367794,-0.460654,-0.059197,132
25423382778,-0.460216,-0.059339,133
25423395905,-0.460724,-0.057577,134
25423412768,-0.462647,-0.056617,135
25423427782,-0.468003,-0.054523,136
25423440922,-0.485079,-0.050254,137
25423457751,-0.523165,-0.045842,138
25423487043,-0.592777,0.005050,140
25423502779,-0.582547,-0.044281,141
25423517730,-0.600803,-0.046967,142
25423531049,-0.614378,-0.050520,143
25423547702,-0.629963,-0.050684,144
25423562758,-0.641456,-0.053159,145
25423576031,-0.651655,-0.052601,145
25423592725,-0.682674,-0.005520,147
25423607704,-0.672674,-0.049528,148
25423638800,-0.708561,0.002533,150
25423652734,-0.693841,-0.044039,151
25423665986,-0.699962,-0.043898,151
25423682737,-0.725937,0.007576,153
25423697766,-0.710763,-0.043276,154
25423710988,-0.713214,-0.042929,154
25423727693,-0.735519,0.016934,155
25423742636,-0.718147,-0.041766,156
25423755978,-0.720298,-0.041858,157
25423788802,-0.724703,-0.041876,159
25423801028,-0.726436,-0.042548,160
25423817756,-0.729005,-0.040638,161
25423832791,-0.730921,-0.040473,162
25423845952,-0.731929,-0.040642,163
25423862777,-0.732874,-0.040241,164
